Category,Attributes
build,interior
build,design
build,rear
build,tire
build,room
build,compact
build,comfortable
build,plastic
performance,mileage
performance,reliability
performance,quality
performance,control
performance,economy
performance,engine
performance,mph
performance,stability
performance,smooth
performance,acceleration
performance,horsepower
performance,reliable
performance,efficient
outlook,resale
outlook,fun
outlook,selling
outlook,styling
outlook,premium
outlook,interesting
outlook,discount
outlook,good
outlook,value
outlook,new
outlook,reputation
ux,transmission
ux,handling
ux,torque
ux,ab
ux,steering
ux,service
ux,suspension
ux,clutch
ux,braking
ux,capacity
issues,expensive
issues,short
issues,noise
issues,failure
issues,problem
