,Counter,Date,User,Comment
0,1,"April 11, 2007 6:52PM","
motownusa ",hi pat : forgot chrysler chrysler
1,2,"April 11, 2007 7:33PM","
exshoman ",'m sure folk would appreciate chevrolet chevrolet included well .
2,3,"April 12, 2007 6:51AM","
targettuning ",try revive topic without able discus ( however heated discussion get .. ) manufacturer verse manufacturer model verse model ( making comparison ) issue specific manufacturer little talk . agree issue members/posters however spite guilty .
3,4,"April 12, 2007 8:43AM","
pat ",model vs. model exactly 're ! manufacturer vs. manufacturer belongs elsewhere 've noted number time . many time turning previous discussion conversation were/are already occurring auto news happening exclusion vehicle . 's need avoid time around .
4,5,"April 13, 2007 11:49AM","
perna ","nissan favorite bunch . amongst fastest best handling group , priced well , gadget . 2007 model best looker bunch , imo . second choice ford ford . thing n't like lack punch , gadget-free compared nissan . still fun drive nice looking inside , though . hate toyota toyota 's interior , honda 's seat . toyota toyota feel lot slower hp rating suggests , nissan 's motor wail honda 's whiny v6 . toyota toyota honda kind expensive get . look neat , 've never driven n't comment . mazda need replaced . bad car , generationally feel like 2002 car 2007 . 'll host 's advice spare comment hyundai kia ."
5,6,"April 13, 2007 12:05PM","
mike91326 ",think cvt nissan ? 've heard people say feel slow line even though 's .
6,7,"April 13, 2007 12:18PM","
plekto ","buick lacrossepassat ( audi audi non-lux trim ) volvo s40 ( really luxury car , either , sporty like volvo ) jeep compass ( hard tell 's car suv wanna-be ) plus others , like mazda mazda technically sedan ( two sedan hatchback would qualify , imo , 's way ) p.s . cvt nissan driven like motorcycle . need floor pedal reach speed ease . binary behavior - opposite normal transmission . ease progressively harder , like used , accelerates like grandmother ."
7,8,"April 13, 2007 12:24PM","
perna ","actually driven cvt , honestly felt faster `` seat pant `` car list ( one 've driven ) . n't even notice lack shifting , much fun driving . daily driver '03 nissan , '07 nissan feel faster max , though ridiculous amount . 's pretty clear new nissan true successor car , `` redesigned `` '04 maximas ."
8,9,"April 13, 2007 12:27PM","
lilengineerboy ","would n't consider mazda mazda , g35 coupe , saturn ion coupe midsized , matter many door . n't think s40 midsized either , size mazda focus.i think since `` sedan `` title , compass ( small midsized anyway ) , wagon n't count , gloried wanna-be suv ."
9,10,"April 13, 2007 12:32PM","
lilengineerboy ","daily driver '03 nissan , '07 nissan feel faster max , though ridiculous amount . 's pretty clear new nissan true successor car , `` redesigned `` '04 maximas.its interesting happens . real successor contour , think mazda ( v6/mtx ) closest thing available ford.i personally found nissan great looking bit pricey ."
10,11,"April 13, 2007 12:33PM","
perna ","p.s . cvt nissan driven like motorcycle . need floor pedal reach speed ease . binary behavior - opposite normal transmission . ease progressively harder , like used , accelerates like grandmother . heh , maybe 's n't notice problem cvt . typically , rush hour traffic n't really notice , 'm going entrance ramp , example , point nissan direction need go , give bit gas n't spin tire , zoooooooooooooooooooooooooooooooooooooooom . 's lot like airplane turning onto runway takeoff . 's drove nissan , cvt must pretty good match driving style . see people driving maximas nissan like buick , shake head . 's like , n't save $ 10k buy chevrolet chevrolet ? ? 're four sport car , insurance tab prove ( despite zero accident ticket 15 year driving ) ."
11,12,"April 13, 2007 12:39PM","
perna ","interesting happens . real successor contour , think mazda ( v6/mtx ) closest thing available ford . personally found nissan great looking bit pricey . really , really like ford . contour , 's sure ! could n't get ford 's lack power compared used , could ford put basic stereo car ? ? car drove well , really liked interior/exterior thing . suspect go replace nissan year , get sticker shock . got tremendous deal since redesigned '04s like 2 week , dealer wanted get rid '03s badly . nissan much popular car , 'm sure discount n't nearly nice . , maybe able swing g35 time nissan need replacing . : shade :"
12,13,"April 13, 2007 3:29PM","
jd10013 ","think cvt nissan ? 've heard people say feel slow line even though 's . depends drive . computer controlled 300 algorithm progamed . kind adapts . personaly , think 's incredible . , n't need `` stomp `` gas get go . durring break-in period , found watch rpm 's go 4000 owner manual say stay . give full acceleration , 'd go 5000 rpm 's hit 60 mph 6 7 second . , 's damn smooth quiet , n't feel like moving fast . quick look rear view , show fast 's actually going . addition , get much better acceleration higher speed , employ engine braking 's going steep incline . deffinitly take couple hundred mile get used , cvt undoubtly future transmission . look everybody swithch next 5 year . cvt automatic transmission fuel injection carburators ."
13,14,"April 13, 2007 4:01PM","
backy ","buick step mid-sized sedan group . volkswagen volkswagen qualify . s40 compact car , mazda platform . jeep compass cross-over suv . would probably get laughed jeep dealership called `` mid-sized . `` agree poster chevrolet chevrolet certainly mentioned banner discussion , dc represented chrysler least , dodge cousin ( even though personally think woeful vehicle ) ."
14,15,"April 13, 2007 6:08PM","
bhmr59 ","2 person business jsut bought 's second hyundai . '05 gls `` special value `` ( chrysler without leather power seat ) . '07 w/xm floor mat . couple le feature , lot safety feature additonal goody . brother drive '07 almost everyday remark feature , power , toyota , gas milage , etc . say , `` beat ( stuff ) '94 old 98 around . `` better everything . nose hyundai unti made test drive . everyone mid-sized market consider hyundai . hyundai long way since first introduced , ever many year ago ?"
15,16,"April 13, 2007 6:18PM","
scape2 ","started hp family sedan ? ? going stop . ford lowest hp/torque rating class still 0-60 7.0 second . bad supposed `` family `` ? ? bragging right manufacturer . family 0-60 4.8 second .. , ? would willing bet u stuck traffic n't go much 60mph .. look value/content looking vehicle . safety , toyota , substance $ $ .. nice see room finally open way .."
